line_item,mouser_no,mfr_no,manufacturer,description,order_qty,price_eur,extended_eur
42,179-PB5-M-BK-R-67,PB5-M-BK-R-67,Same Sky,"Pushbutton Switches - Industrial Push Button, SPST-NO, Off-(On) 12mm, Raised, Black, Panel Mount, IP67",2,"2,49 €","4,98 €"
43,179-PB4L-M-RR-D-67,PB4L-M-RR-D-67,Same Sky,"Pushbutton Switches - Industrial Push Button, SPST-NO, Off-(On) 12mm, Red Dome, Red Illuminated, Panel Mount, IP67",1,"2,12 €","2,12 €"
44,179-PTNS2-4515M-B10,PTNS2-4515M-B10,Same Sky,"Slide Potentiometers Slide pot, 45mm travel, 10K ohm, 15mm metal lever, linear",10,"1,38 €","13,80 €"
45,595-CD74HC4051E,CD74HC4051E,Texas Instruments,Multiplexer Switch ICs High Spd CMOS Analog,10,"0,641 €","6,41 €"
46,179-PTNS2-4515M-B01,PTNS2-4515M-B01,Same Sky,"Slide Potentiometers Slide pot, 45mm travel, 1K ohm, 15mm metal lever, linear",10,"1,38 €","13,80 €"
47,855-D0820-42,D0820-42,Harwin,IC & Component Sockets D08 20 WAY 3 LEVEL SIL WIRE WRAP IC SKT,20,"2,40 €","48,00 €"
48,392-100865,555035,Soldered,"Jumper Wires MALE-FEMALE, CABLES, 40, PIECES, set, kit",2,"3,23 €","6,46 €"
49,595-LM324AN,LM324AN,Texas Instruments,Operational Amplifiers - Op Amps Quad General,25,"0,287 €","7,18 €"
50,71-RN60D3300F,RN60D3300FB14,Vishay,Metal Film Resistors - Through Hole 1/4watt 330ohms 1% 100ppm,100,"0,268 €","26,80 €"
51,660-MF1/4DCT52R1001F,MF1/4DCT52R1001F,KOA Speer,Metal Film Resistors - Through Hole 1Kohms 1% 100PPM,100,"0,039 €","3,90 €"
52,763-0440AZ-FL-YBW,NHD-0440AZ-FL-YBW,Newhaven Display,LCD Character Display Modules & Accessories STN- Y/G Transfl 190.0 x 54.0,2,"21,63 €","43,26 €"
53,595-SN74LS14N,SN74LS14N,Texas Instruments,Inverters Hex Schmitt-Trigger,10,"0,518 €","5,18 €"
